model,run_type,best_params,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
SVC,bayesian_search,"{'C': 15.35224694197351, 'gamma': 'scale', 'kernel': 'poly'}",0.4533776301218162,0.2335541085064227,0.34217263765808353,0.3174603174603174,0.4533776301218162,0.2524066431988235,0.3612212100518445
SVC,bayesian_search,"{'C': 2.4400607090817545, 'gamma': 'scale', 'kernel': 'rbf'}",0.3551495016611296,0.05919158361018826,0.1262132868290637,0.16666666666666666,0.3551495016611296,0.08734709362535503,0.18621644157012893
SVC,bayesian_search,"{'C': 0.6870614282613304, 'gamma': 'scale', 'kernel': 'rbf'}",0.3551495016611296,0.05919158361018826,0.1262132868290637,0.16666666666666666,0.3551495016611296,0.08734709362535503,0.18621644157012893
SVC,bayesian_search,"{'C': 4.013783023846255, 'gamma': 'scale', 'kernel': 'poly'}",0.4207087486157254,0.19043629764343561,0.23864396605966315,0.24888888888888888,0.4207087486157254,0.18807533670181573,0.2734685500773809
SVC,bayesian_search,"{'C': 56.78201970293135, 'gamma': 'scale', 'kernel': 'poly'}",0.5093023255813953,0.2800679779990125,0.41578688683168014,0.3559325396825397,0.5093023255813953,0.2980531525288767,0.4397166853225604
SVC,bayesian_search,"{'C': 2.9507066707905336, 'gamma': 'auto', 'kernel': 'rbf'}",0.6217054263565891,0.5297878787878789,0.6079674485720997,0.549047619047619,0.6217054263565891,0.5012419644732435,0.5731815116171347
SVC,bayesian_search,"{'C': 0.012366582530130826, 'gamma': 'auto', 'kernel': 'linear'}",0.43477297895902545,0.21759435626102291,0.3265121552496968,0.2892063492063492,0.43477297895902545,0.22624151895673722,0.33074042672331927
SVC,bayesian_search,"{'C': 0.015369603110608834, 'gamma': 'auto', 'kernel': 'rbf'}",0.3551495016611296,0.05919158361018826,0.1262132868290637,0.16666666666666666,0.3551495016611296,0.08734709362535503,0.18621644157012893
SVC,bayesian_search,"{'C': 0.023036990230378637, 'gamma': 'auto', 'kernel': 'linear'}",0.43942414174972316,0.23998680254056598,0.332824633901153,0.32571428571428573,0.43942414174972316,0.24962224159363236,0.33637068069912573
SVC,bayesian_search,"{'C': 85.68869785189018, 'gamma': 'scale', 'kernel': 'poly'}",0.4626799557032116,0.2573676258382141,0.36778983897998946,0.33107142857142857,0.4626799557032116,0.273088053629283,0.3882291609209977
SVC,bayesian_search,"{'C': 26.94532710992379, 'gamma': 'auto', 'kernel': 'rbf'}",0.6499446290143964,0.5265521049416642,0.6153296389158185,0.5947619047619048,0.6499446290143964,0.5345154463218978,0.6027438574753975
SVC,bayesian_search,"{'C': 32.58658247832243, 'gamma': 'auto', 'kernel': 'linear'}",0.607641196013289,0.5362649958973489,0.5576560504399082,0.5510119047619048,0.607641196013289,0.5022636622636623,0.5548795132516063
SVC,bayesian_search,"{'C': 19.410454861744768, 'gamma': 'auto', 'kernel': 'rbf'}",0.6454042081949058,0.5282887721597399,0.6183761862043934,0.5925396825396826,0.6454042081949058,0.53192540929921,0.5972121613587899
SVC,bayesian_search,"{'C': 20.166667594475648, 'gamma': 'auto', 'kernel': 'rbf'}",0.6454042081949058,0.5282887721597399,0.6183761862043934,0.5925396825396826,0.6454042081949058,0.53192540929921,0.5972121613587899
SVC,bayesian_search,"{'C': 20.750405795235558, 'gamma': 'auto', 'kernel': 'rbf'}",0.6454042081949058,0.5282887721597399,0.6183761862043934,0.5925396825396826,0.6454042081949058,0.53192540929921,0.5972121613587899
SVC,bayesian_search,"{'C': 100.0, 'gamma': 'auto', 'kernel': 'poly'}",0.6362126245847175,0.6499784311549017,0.6339137029561106,0.621388888888889,0.6362126245847175,0.5874051787195562,0.6114457832545306
SVC,bayesian_search,"{'C': 50.23399676229627, 'gamma': 'auto', 'kernel': 'rbf'}",0.6406423034330011,0.5468036057509742,0.621924572775246,0.5987301587301588,0.6406423034330011,0.5469116698237432,0.602533477947647
SVC,bayesian_search,"{'C': 32.07394340166625, 'gamma': 'auto', 'kernel': 'poly'}",0.6172757475083056,0.6400466037230743,0.6135459016912994,0.6126587301587302,0.6172757475083056,0.5774969460662255,0.5906700222117757
SVC,bayesian_search,"{'C': 5.7896983539084275, 'gamma': 'auto', 'kernel': 'poly'}",0.6128460686600221,0.6290973351267468,0.6045137306833613,0.5925,0.6128460686600221,0.5625798956346328,0.5851486210341849
SVC,bayesian_search,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.43942414174972316,0.16345934583625585,0.2184857291154918,0.29333333333333333,0.43942414174972316,0.20504464773646358,0.28655277905411725
SVC,bayesian_search,"{'C': 0.6739509681904935, 'gamma': 'auto', 'kernel': 'poly'}",0.6454042081949058,0.6545562770562771,0.6432990447764729,0.6350396825396826,0.6454042081949058,0.5998491854943467,0.620375734115419
SVC,bayesian_search,"{'C': 1.1630847078508242, 'gamma': 'auto', 'kernel': 'poly'}",0.5800664451827242,0.6234815878883384,0.5793781885809718,0.6027976190476191,0.5800664451827242,0.5673025520759317,0.5538450609572982
SVC,bayesian_search,"{'C': 0.3125797488146336, 'gamma': 'auto', 'kernel': 'linear'}",0.504983388704319,0.3509592288479083,0.4380118459673441,0.3953571428571429,0.504983388704319,0.35362922622762444,0.45151488496957076
